code;name;total_rooms;used_rooms;amount_employees,technical_or_high_school
53003608;CED 05 DE TAGUATINGA;20;20;105,true
53007360;CED 14 DE CEILANDIA;19;19;129,true
53007387;CED 15 DE CEILANDIA;20;20;104,true
53008804;CED 02 DO CRUZEIRO;20;20;116,true
53010981;CIL DO GUARA;12;12;69,true
53011023;CED 02 DO RIACHO FUNDO;15;15;129,true
53011031;CEM 01 DE SAO SEBASTIAO;19;17;134,true
53012097;CED 123 DE SAMAMBAIA;15;15;78,true
53012119;CED 308 DO RECANTO DAS EMAS;15;15;73,true
53016734;CIL 01 DE SAO SEBASTIAO;13;8;13,true
53016742;CIL 01 DO NUCLEO BANDEIRANTE;8;8;13,true
53011066;CED 104 DO RECANTO DAS EMAS;29;29;154,true
53012194;CEM 111 DO RECANTO DAS EMAS;26;26;139,true
53003616;CED 06 DE TAGUATINGA;24;20;171,true
53003624;CED 07 DE TAGUATINGA;20;17;94,true
53003683;CEM TAGUATINGA NORTE;20;20;106,true
53001036;CEM ELEFANTE BRANCO;27;27;130,true
53002482;CED 08 DO GAMA;25;15;93,true
53002563;CED 07 DO GAMA;18;18;123,true
53019407;CEM 804 DO RECANTO DAS EMAS;23;23;111,true
53016980;CIL 01 DE SAMAMBAIA;5;3;26,true
53003969;CIL DE CEILANDIA;24;24;94,true
53007425;CEM 12 DE CEILANDIA;19;19;114,true
53007492;CEM 02 DE CEILANDIA;30;28;120,true
53007506;CEM 03 DE CEILANDIA;30;28;168,true
53007514;CEM 04 DE CEILANDIA;15;15;119,true
53007530;CED 06 DE CEILANDIA;16;16;115,true
53007549;CED 07 DE CEILANDIA;33;33;132,true
53007557;CEM 09 DE CEILANDIA;15;15;84,true
53007565;CEM 10 DE CEILANDIA;20;14;68,true
53005015;CEM 01 DE BRAZLANDIA;20;20;112,true
53005023;CED 02 DE BRAZLANDIA;21;20;107,true
53009029;CEM 304 DE SAMAMBAIA;20;20;135,true
53006739;CEM 01 DO PARANOA;19;19;150,true
53048008;CED 01 DA ESTRUTURAL;20;20;120,true
53001206;CEM SETOR LESTE;24;24;103,true
53001214;CEM SETOR OESTE;15;14;99,true
53015215;IFB - CAMPUS BRASILIA;40;40;180,true
53015223;IFB - CAMPUS TAGUATINGA;17;17;120,true
53015231;IFB - CAMPUS SAMAMBAIA;26;26;106,true
53015240;IFB - CAMPUS GAMA;24;24;103,true
53017480;CIL DO RIACHO FUNDO I;14;1;34,true
53015282;INST TECNICO DE EDUC DE BRASILIA - TAGUATINGA SUL;0;0;0,true
53012100;CED 16 DE CEILANDIA;15;14;109,true
53002580;CEM 01 DO GAMA;30;30;167,true
53002598;CEM 02 DO GAMA;31;28;167,true
53002601;CEM 03 DO GAMA;20;19;106,true
53002610;CED 06 DO GAMA;24;24;105,true
53005171;CED 04 DE BRAZLANDIA;7;7;42,true
53006062;CED 01 DE PLANALTINA;25;25;194,true
53006070;CEM 02 DE PLANALTINA;26;21;140,true
53006968;CED AGROURBANO IPE RIACHO FUNDO;10;10;72,true
53006984;CEM 01 DO RIACHO FUNDO;21;19;141,true
53015380;IFB - CAMPUS RIACHO FUNDO;12;12;111,true
53015401;IFB - CAMPUS SAO SEBASTIAO;13;13;104,true
53010000;CED 416 DE SANTA MARIA;19;16;81,true
53008456;CED 01 DO GUARA;15;15;110,true
53008464;CEM 01 DO GUARA;18;18;126,true
53008472;CED 03 DO GUARA;36;27;118,true
53008480;CED 04 DO GUARA;15;14;129,true
53012542;CED 04 DE SOBRADINHO;19;19;148,true
53010019;CED 619 DE SAMAMBAIA;22;22;120,true
53015398;IFB - CAMPUS TAGUATINGA CENTRO;0;0;0,true
53012623;CEM 404 DE SANTA MARIA;18;18;102,true
53068181;CED 310 DE SANTA MARIA;18;18;98,true
53005465;CEM 01 DE SOBRADINHO;26;25;172,true
53006178;IFB - CAMPUS PLANALTINA;26;26;200,true
53006283;CED 03 DE PLANALTINA;18;18;118,true
53007921;CED 11 DE CEILANDIA;20;18;133,true
53011996;CEM 414 DE SAMAMBAIA;18;18;116,true
53012720;CEM 02 DE BRAZLANDIA;18;18;94,true
53010620;INST TECNICO DE EDUC DE BRASILIA - SOBRADINHO II;10;10;54,true
53003578;CED 02 DE TAGUATINGA;20;20;188,true
53003586;CEM 03 DE TAGUATINGA;19;19;86,true
53003594;CED 04 DE TAGUATINGA;26;18;122,true
53005473;CED 02 DE SOBRADINHO;19;19;144,true
53003047;CED ENGENHO DAS LAJES;12;13;97,true
53016386;CIL 01 DE PLANALTINA;10;10;17,true
53016408;CIL 01 DE SANTA MARIA;4;4;23,true
53016432;CIL 01 DO RECANTO DAS EMAS;10;10;52,true
